USER           PID %CPU %MEM   RSS TT       STAT  STARTED     TIME CMD
blackbeard   27032  0.0  0.0 21168 ?        Sl   20:42:58 00:00:02 /usr/lib/x86_64-linux-gnu/libexec/kf5/kio_http_cache_cleaner
admin        12406  0.0  0.0 21048 ?        Sl   19:39:46 00:00:04 /usr/lib/x86_64-linux-gnu/libexec/kf5/kio_http_cache_cleaner
root          1484  0.0  0.0 20940 ?        Ss   19:34:14 00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root          1472  0.0  0.0 18000 ?        Ssl  19:34:14 00:00:06 /usr/sbin/NetworkManager --no-daemon
root          1591  0.0  0.0 17288 ?        Ss   19:34:14 00:00:00 /usr/sbin/winbindd --foreground --no-process-group
root          1625  0.0  0.0 16052 ?        Ssl  19:34:14 00:00:00 /usr/bin/sddm
root         15473  0.0  0.0 15308 ?        S    19:46:48 00:00:00 /usr/lib/x86_64-linux-gnu/sddm/sddm-helper --socket /tmp/sddm-authe11e9412-6c14-41ba-9eb0-cddc24b7877f --id 10 --start /usr/bin/startplasma-x11 --user fannybaws
root         20824  0.0  0.0 15296 ?        S    20:10:00 00:00:00 /usr/lib/x86_64-linux-gnu/sddm/sddm-helper --socket /tmp/sddm-authe11e9412-6c14-41ba-9eb0-cddc24b7877f --id 8 --start /usr/bin/startplasma-x11 --user blackbeard
root        119077  0.0  0.0 14552 ?        Ss   21:42:07 00:00:00 /usr/sbin/cupsd -l
root             1  0.1  0.0 14380 ?        Ss   19:34:05 00:00:08 /lib/systemd/systemd splash --system --deserialize 25
colord        1636  0.0  0.0 13960 ?        Ssl  19:34:14 00:00:00 /usr/libexec/colord
root          1492  0.0  0.0 13948 ?        Ssl  19:34:14 00:00:01 /usr/libexec/udisks2/udisksd
root          1946  0.0  0.0 13084 ?        S    19:34:15 00:00:00 cupsd -f -s /var/snap/cups/common/etc/cups/cups-files.conf -c /var/snap/cups/common/etc/cups/cupsd.conf
systemd-r+   38123  0.0  0.0 12952 ?        Ss   21:33:53 00:00:00 /lib/systemd/systemd-resolved
root          1595  0.0  0.0 12484 ?        Ssl  19:34:14 00:00:00 /usr/sbin/ModemManager
blackbeard   21013  0.0  0.0 12192 ?        Ssl  20:10:00 00:00:00 /usr/libexec/xdg-desktop-portal
root          1485  0.0  0.0 12144 ?        Ssl  19:34:14 00:00:04 /usr/libexec/polkitd --no-debug
fannybaws    15475  0.0  0.0 12076 ?        Ss   19:46:48 00:00:00 /lib/systemd/systemd --user
fannybaws    15658  0.0  0.0 12036 ?        Ssl  19:46:48 00:00:00 /usr/libexec/xdg-desktop-portal
admin         5339  0.0  0.0 11992 ?        Ssl  19:34:53 00:00:00 /usr/libexec/xdg-desktop-portal
blackbeard   20919  0.0  0.0 11948 ?        Ssl  20:10:00 00:00:02 /usr/bin/ibus-daemon --daemonize --xim
admin         5148  0.0  0.0 11800 ?        Ss   19:34:52 00:00:00 /lib/systemd/systemd --user
root          1701  0.0  0.0 11640 ?        S    19:34:15 00:00:00 winbindd: domain child [DESKTOP]
fannybaws    15557  0.1  0.0 11412 ?        Ssl  19:46:48 00:00:10 /usr/bin/ibus-daemon --daemonize --xim
root        119272  0.0  0.0 11072 ?        Ssl  21:42:10 00:00:00 /usr/sbin/cups-browsed
otter       160817  0.3  0.0 10660 pts/10   Sl+  21:47:29 00:00:00 python3 generate.py
blackbeard   20826  0.0  0.0 10648 ?        Ss   20:10:00 00:00:00 /lib/systemd/systemd --user
bonny        28260  0.0  0.0 10504 ?        Ss   20:46:26 00:00:00 /lib/systemd/systemd --user
j.silver     28192  0.0  0.0 10500 ?        Ss   20:44:54 00:00:00 /lib/systemd/systemd --user
root        106712  0.0  0.0 10088 ?        Sl   21:41:28 00:00:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id eb0ad7885c9ad9a39c371fe0ba3dbdb7930868aecb0bdbe3b2eb845666b67c79 -address /run/containerd/containerd.sock
root        106768  0.0  0.0 10048 ?        Sl   21:41:28 00:00:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id a859e656eb0c70d396d53e4b408997f969df260e7e37bc84d283029179e51937 -address /run/containerd/containerd.sock
root        106892  0.0  0.0  9528 ?        Sl   21:41:28 00:00:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id e641e9e2e3213e6d07197e32c681a9c06b573a154caa04f18360a1e391d55c80 -address /run/containerd/containerd.sock
root          1947  0.0  0.0  9440 ?        Sl   19:34:15 00:00:00 cups-proxyd /var/snap/cups/common/run/cups.sock /run/cups/cups.sock -l --logdir /var/snap/cups/962/var/log
root          1490  0.0  0.0  9192 ?        Ss   19:34:14 00:00:00 /lib/systemd/systemd-logind
systemd-c+  107062  0.0  0.0  8756 ?        Ss   21:41:29 00:00:00 postgres: wal writer process   
messagebus    1470  0.1  0.0  8624 ?        Ss   19:34:14 00:00:12 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root          2364  0.0  0.0  8480 ?        Ssl  19:34:17 00:00:00 /usr/libexec/upowerd
fannybaws    15639  0.0  0.0  8116 ?        Ssl  19:46:48 00:00:00 /usr/libexec/at-spi-bus-launcher
root        105985  0.0  0.0  8104 ?        Ssl  21:38:41 00:00:00 /usr/libexec/accounts-daemon
blackbeard   21001  0.0  0.0  8088 ?        Ssl  20:10:00 00:00:00 /usr/libexec/at-spi-bus-launcher
blackbeard   21010  0.0  0.0  8076 ?        Sl   20:10:00 00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
fannybaws    15648  0.0  0.0  7880 ?        Sl   19:46:48 00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
blackbeard   20943  0.0  0.0  7680 ?        Sl   20:10:00 00:00:00 /usr/libexec/ibus-portal
fannybaws    16214  0.0  0.0  7676 ?        Sl   19:46:53 00:00:00 /usr/libexec/pulse/gsettings-helper
fannybaws    15579  0.0  0.0  7644 ?        Sl   19:46:48 00:00:00 /usr/libexec/ibus-portal
root          1238  0.0  0.0  7612 ?        Ss   19:34:14 00:00:01 /sbin/mount.ntfs /dev/sda2 /mnt/d -o rw,errors=remount-ro
root        105525  0.0  0.0  7580 ?        Ss   21:38:34 00:00:00 /lib/systemd/systemd-udevd
admin         5323  0.0  0.0  7532 ?        Ssl  19:34:53 00:00:00 /usr/libexec/at-spi-bus-launcher
fannybaws    15679  0.0  0.0  7492 ?        Sl   19:46:48 00:00:02 /usr/libexec/ibus-engine-simple
root          1486  0.0  0.0  7476 ?        Ssl  19:34:14 00:00:00 /usr/libexec/power-profiles-daemon
blackbeard   20930  0.0  0.0  7476 ?        Sl   20:10:00 00:00:00 /usr/libexec/ibus-memconf
blackbeard   21039  0.0  0.0  7452 ?        Sl   20:10:00 00:00:00 /usr/libexec/ibus-engine-simple
fannybaws    15567  0.0  0.0  7408 ?        Sl   19:46:48 00:00:00 /usr/libexec/ibus-memconf
fannybaws    15663  0.0  0.0  7028 ?        Ssl  19:46:48 00:00:00 /usr/libexec/xdg-document-portal
fannybaws    15560  0.0  0.0  6924 ?        Ssl  19:46:48 00:00:00 /usr/libexec/gvfsd
systemd-t+  105474  0.0  0.0  6912 ?        Ssl  21:38:33 00:00:00 /lib/systemd/systemd-timesyncd
blackbeard   21019  0.0  0.0  6884 ?        Ssl  20:10:00 00:00:00 /usr/libexec/xdg-document-portal
admin         5387  0.0  0.0  6872 ?        Ssl  19:34:53 00:00:00 /usr/libexec/xdg-document-portal
admin         5242  0.0  0.0  6848 ?        Ssl  19:34:53 00:00:00 /usr/libexec/gvfsd
blackbeard   20922  0.0  0.0  6792 ?        Ssl  20:10:00 00:00:00 /usr/libexec/gvfsd
admin         5248  0.0  0.0  6496 ?        Sl   19:34:53 00:00:00 /usr/libexec/gvfsd-fuse /run/user/1003/gvfs -f
systemd-c+  107063  0.0  0.0  6392 ?        Ss   21:41:29 00:00:00 postgres: autovacuum launcher process   
blackbeard   21357  0.0  0.0  6348 ?        Ss   20:10:04 00:00:00 /usr/lib/bluetooth/obexd
root          1488  0.0  0.0  6300 ?        Ss   19:34:14 00:00:00 /usr/sbin/smartd -n
fannybaws    15919  0.0  0.0  6300 ?        Ss   19:46:49 00:00:00 /usr/lib/bluetooth/obexd
blackbeard   20928  0.0  0.0  6192 ?        Sl   20:10:00 00:00:00 /usr/libexec/gvfsd-fuse /run/user/1006/gvfs -f
admin         5657  0.0  0.0  6176 ?        Ss   19:34:54 00:00:00 /usr/lib/bluetooth/obexd
fannybaws    15565  0.0  0.0  6152 ?        Sl   19:46:48 00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
blackbeard   20855  0.0  0.0  6016 ?        Ss   20:10:00 00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
fannybaws    15794  0.0  0.0  5992 ?        Ssl  19:46:48 00:00:00 /usr/libexec/dconf-service
fannybaws    15507  0.0  0.0  5968 ?        Ss   19:46:48 00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
admin         5477  0.0  0.0  5896 ?        Ssl  19:34:53 00:00:00 /usr/libexec/dconf-service
systemd-c+  107060  0.0  0.0  5852 ?        Ss   21:41:29 00:00:00 postgres: checkpointer process   
blackbeard   21033  0.0  0.0  5840 ?        Ssl  20:10:00 00:00:00 /usr/libexec/dconf-service
